nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
353	1.97	59.97	4	TERMINATING	1	1	2	Affine Template / Affine Template
354	2.56	118.42	6	TERMINATING	1	1	2	Affine Template / Affine Template
355	1.92	46.18	4	TERMINATING	1	1	2	Affine Template / Affine Template
356	2.22	68.43	7	TERMINATING	1	1	2	Affine Template / Affine Template
357	2.52	212.35	18	TERMINATING	3	2	5	Affine Template / Affine Template
358	2.07	70.49	4	TERMINATING	1	1	2	Affine Template / Affine Template
359	2.12	123.74	11	TERMINATING	1	1	2	Affine Template / Affine Template
360	2.2	76.36	7	TERMINATING	1	1	2	Affine Template / Affine Template
361	2.13	78.13	5	TERMINATING	1	1	2	Affine Template / Affine Template
362	1.99	56.91	4	TERMINATING	1	1	2	Affine Template / Affine Template
363	3.46	438.89	28	TERMINATING	1	2	3	Affine Template / Affine Template
364	14.7	949.9	7	TERMINATING	44	13	57	Affine Template / Affine Template
365	2.08	45.4	4	TERMINATING	1	1	2	Affine Template / Affine Template
366	1.85	55.25	3	TERMINATING	1	1	2	Affine Template / Affine Template
367	2	56.18	3	TERMINATING	1	1	2	Affine Template / Affine Template
368	2.98	49.44	3	TERMINATING	1	1	2	Affine Template / Affine Template
