nodes,Ultimate-fixpoint,Ultimate-all,pasttel,label,Stem Size,Loop Size,Total Size Trace,Algo,Total-NonTerminate
1218,"9,25","9,25",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"9,25"
1219,"4,98","4,98",3,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"4,98"
1220,"4,07","4,07",3,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"4,07"
1221,"4,54","4,54",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,54"
1222,"4,41","4,41",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,41"
1223,"7,53","7,53",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"7,53"
1224,"6,34","6,34",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"6,34"
1225,"3,18","3,18",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,18"
1226,"3,51","3,51",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,51"
1227,"4,91","4,91",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,91"
1228,"3,13","3,13",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,13"
1229,"1,92","1,92",4,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"1,92"
1230,"4,18","4,18",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,18"
1231,"3,38","3,38",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,38"
1232,"5,08","5,08",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,08"
1233,"4,34","4,34",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,34"
1234,"4,21","4,21",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"4,21"
1235,"4,67","4,67",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,67"
1236,"4,66","4,66",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,66"
1237,"4,42","4,42",3,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,42"
1238,"5,01","5,01",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,01"
1239,"2,86","2,86",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,86"
1240,"5,7","5,7",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,7"
1241,"3,08","3,08",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,08"
1242,"2,64","2,64",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,64"
1243,"3,75","3,75",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,75"
1244,"3,18","3,18",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,18"
1245,"4,85","4,85",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,85"
1246,"4,92","4,92",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,92"
1247,"9,23","9,23",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"9,23"
1248,"6,35","6,35",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"6,35"
1249,"3,04","3,04",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,04"
1250,"2,57","2,57",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,57"
1251,"2,84","2,84",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,84"
1252,"2,61","2,61",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,61"
1253,"2,85","2,85",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,85"
1254,"3,11","3,11",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,11"
1255,"2,74","2,74",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,74"
1256,"2,9","2,9",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,9"
1257,"5,81","5,81",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,81"
1258,"2,81","2,81",3,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,81"
1259,"4,41","4,41",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"4,41"
1260,"3,27","3,27",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,27"
1261,"3,58","3,58",3,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"3,58"
1262,"3,87","3,87",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,87"
1263,"3,44","3,44",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,44"
1264,"2,7","2,7",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,7"
1265,"3,19","3,19",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,19"
1266,"3,22","3,22",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,22"
1267,"4,08","4,08",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"4,08"
1268,"3,17","3,17",2,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"3,17"
1269,"3,57","3,57",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,57"
1270,"4,73","4,73",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"4,73"
1271,"3,5","3,5",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,5"
1272,"3,89","3,89",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,89"
1273,"3,08","3,08",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,08"
1274,"3,6","3,6",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,6"
1275,"3,36","3,36",2,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"3,36"
1276,"5,07","5,07",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"5,07"
