lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Lobnya-Boolean-Reordered-2.c/lasso_trace_1.txt	1402	2361.05	18	TERMINATING	2-Phase Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Log_no-overflow.c/lasso_trace_2.txt	1403	116.73	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Log_no-overflow.c/lasso_trace_3.txt	1404	90.16	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Log.c/lasso_trace_2.txt	1405	116.7	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Log.c/lasso_trace_3.txt	1406	91.38	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_LogAG_no-overflow.c/lasso_trace_1.txt	1407	269.16	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_LogAG_no-overflow.c/lasso_trace_2.txt	1408	117.66	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_LogAG.c/lasso_trace_1.txt	1409	260.63	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_LogAG.c/lasso_trace_2.txt	1410	109.53	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_long_while.c/lasso_trace_1.txt	1411	105.98	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop_as_goto.c/lasso_trace_1.txt	1412	78.78	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop_on_input.t2.c/lasso_trace_1.txt	1413	177.71	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop_on_input.t2.c/lasso_trace_2.txt	1414	195.25	15	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop-110517_Martin01-safe.bpl/lasso_trace_1.txt	1415	90.29	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop-110517_Martin01.bpl/lasso_trace_1.txt	1416	89.41	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop-CountTillBound-2.bpl/lasso_trace_1.txt	1417	107.43	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop-Goto.bpl/lasso_trace_1.txt	1418	95.87	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_loop-literal-widening-predicate-weakening.bpl/lasso_trace_1.txt	1419	82.41	5	TERMINATING	Affine Template / Affine Template
