nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
219	2.46	116.49	44.00	TERMINATING	10	15	25	Affine template / Affine template
220	1.51	89.59	44.00	TERMINATING	15	8	23	Affine template / Affine template
221	1.93	53.12	6.00	TERMINATING	1	3	4	Affine template / Affine template
222	0.48	40.49	8.00	TERMINATING	4	1	5	Affine template / Affine template
223	1.96	58.77	9.00	TERMINATING	7	3	10	Affine template / Affine template
224	1.12	38.45	8.00	TERMINATING	10	1	11	Affine template / Affine template
225	2.46	217.69	83.00	TERMINATING	11	18	29	Affine template / Affine template
226	1.71	174.57	77.00	TERMINATING	17	9	26	Affine template / Affine template
227	1.87	64.21	11.00	TERMINATING	1	3	4	Affine template / Affine template
228	1.10	39.28	9.00	TERMINATING	4	1	5	Affine template / Affine template
229	1.97	53.91	11.00	TERMINATING	7	3	10	Affine template / Affine template
230	2.25	132.19	40.00	TERMINATING	10	8	18	Affine template / Affine template
231	1.27	88.33	41.00	TERMINATING	14	6	20	Affine template / Affine template
232	2.15	51.72	5.00	TERMINATING	1	2	3	Affine template / Affine template
233	0.41	35.95	5.00	TERMINATING	2	1	3	Affine template / Affine template
234	2.00	48.05	7.00	TERMINATING	7	2	9	Affine template / Affine template
235	0.50	36.62	6.00	TERMINATING	8	1	9	Affine template / Affine template
236	2.96	127.80	60.00	TERMINATING	11	10	21	Affine template / Affine template
237	1.64	157.22	68.00	TERMINATING	17	7	24	Affine template / Affine template
238	2.47	58.47	7.00	TERMINATING	1	2	3	Affine template / Affine template
239	0.63	40.80	7.00	TERMINATING	2	1	3	Affine template / Affine template
240	1.95	60.85	9.00	TERMINATING	7	2	9	Affine template / Affine template
241	0.54	47.95	9.00	TERMINATING	8	1	9	Affine template / Affine template
242	2.08	93.96	33.00	TERMINATING	9	13	22	Affine template / Affine template
243	0.91	76.19	40.00	TERMINATING	10	17	27	Affine template / Affine template
244	0.71	58.75	25.00	TERMINATING	16	4	20	Affine template / Affine template
245	0.69	78.49	20.00	TERMINATING	16	4	20	Affine template / Affine template
246	2.08	57.69	5.00	TERMINATING	1	4	5	Affine template / Affine template
247	0.54	32.37	7.00	TERMINATING	3	1	4	Affine template / Affine template
248	2.08	50.37	7.00	TERMINATING	7	4	11	Affine template / Affine template
249	0.38	36.82	5.00	TERMINATING	9	1	10	Affine template / Affine template
250	1.67	44.19	5.00	TERMINATING	1	1	2	Affine template / Affine template
251	1.65	50.43	7.00	TERMINATING	6	1	7	Affine template / Affine template
252	2.84	149.23	50.00	TERMINATING	8	15	23	Affine template / Affine template
253	1.58	95.99	49.00	TERMINATING	18	15	33	Affine template / Affine template
254	2.16	152.81	22.00	TERMINATING	5	1	6	2 template / Nested template
255	1.76	69.77	16.00	TERMINATING	5	1	6	Affine template / Affine template
256	2.31	133.20	33.00	TERMINATING	1	4	5	Affine template / Affine template
257	0.93	46.89	16.00	TERMINATING	2	6	8	Affine template / Affine template
258	1.04	64.00	40.00	TERMINATING	5	6	11	Affine template / Affine template
259	1.28	133.44	79.00	TERMINATING	9	6	15	Affine template / Affine template
260	2.17	249.61	30.00	TERMINATING	6	4	10	Affine template / Affine template
261	0.37	43.07	7.00	TERMINATING	7	28	35	Affine template / Affine template
262	0.39	41.30	11.00	TERMINATING	7	28	35	Affine template / Affine template
263	3.09	885.53	76.00	TERMINATING	1	4	5	Affine template / Affine template
264	2.13	47.16	41.00	TERMINATING	0	7	7	Affine template / Affine template
265	1.04	338.82	87.00	TERMINATING	1	7	8	Affine template / Affine template
266	1.63	621.71	216.00	TERMINATING	8	7	15	Affine template / Affine template
267	3.42	24338.65	6529.00	TERMINATING	492	372	864	Affine template / Affine template
268	1.72	63.30	7.00	TERMINATING	56	21	77	Affine template / Affine template
269	2.91	62.89	10.00	TERMINATING	56	21	77	Affine template / Affine template
270	1.51	16896.30	175.00	TERMINATING	5	1	6	Affine template / Affine template
271	1.49	65.77	7.00	TERMINATING	21	1	22	Affine template / Affine template
272	2.37	134.31	41.00	TERMINATING	21	6	27	Affine template / Affine template
273	1.95	107.01	14.00	TERMINATING	6	1	7	Affine template / Affine template
274	1.73	43.10	4.00	TERMINATING	1	1	2	Affine template / Affine template
275	2.24	130.87	24.00	TERMINATING	1	1	2	Affine template / Affine template
