nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
182	3.65	3.65	92.00	NONTERMINATING	6	22	28	Fixpoint / Fixpoint
183	3.57	3.57	134.00	NONTERMINATING	6	22	28	Fixpoint / Fixpoint
184	3.61	3.61	250.00	NONTERMINATING	6	22	28	Fixpoint / Fixpoint
185	3.99	3.99	4.00	NONTERMINATING	6	31	37	Fixpoint / Fixpoint
186	2.68	2.68	1.00	NONTERMINATING	4	3	7	Fixpoint / Fixpoint
187	2.85	2.85	1.00	NONTERMINATING	4	3	7	Fixpoint / Fixpoint
188	2.78	2.78	1.00	NONTERMINATING	4	3	7	Fixpoint / Fixpoint
189	3.54	3.54	1.00	NONTERMINATING	5	3	8	Fixpoint / Fixpoint
190	3.06	3.06	1.00	NONTERMINATING	5	3	8	Fixpoint / Fixpoint
191	2.95	2.95	1.00	NONTERMINATING	4	1	5	Fixpoint / Fixpoint
192	3.99	3.99	13.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
193	0.46	32.46	2.00	NONTERMINATING	6	2	8	GNTA / GNTA
194	1.90	1.90	2.00	NONTERMINATING	19	5	24	Fixpoint / Fixpoint
195	3.09	3.09	1.00	NONTERMINATING	13	1	14	Fixpoint / Fixpoint
196	1.71	39.08	1.00	NONTERMINATING	20	8	28	GNTA / GNTA
197	1.66	39.92	1.00	NONTERMINATING	20	13	33	GNTA / GNTA
198	1.27	1.27	1.00	NONTERMINATING	29	8	37	Fixpoint / Fixpoint
199	1.22	1.22	1.00	NONTERMINATING	34	8	42	Fixpoint / Fixpoint
200	1.40	1.40	1.00	NONTERMINATING	29	12	41	Fixpoint / Fixpoint
201	1.17	1.17	1.00	NONTERMINATING	29	13	42	Fixpoint / Fixpoint
202	1.26	1.26	1.00	NONTERMINATING	37	13	50	Fixpoint / Fixpoint
203	1.66	44.94	2.00	NONTERMINATING	6	10	16	GNTA / GNTA
204	3.27	3.27	3.00	NONTERMINATING	244	166	410	Fixpoint / Fixpoint
205	3.38	3.38	4.00	NONTERMINATING	248	166	414	Fixpoint / Fixpoint
206	3.41	3.41	4.00	NONTERMINATING	248	166	414	Fixpoint / Fixpoint
207	1.92	51.33	2.00	NONTERMINATING	6	6	12	GNTA / GNTA
208	2.73	2.73	1.00	NONTERMINATING	5	23	28	Fixpoint / Fixpoint
209	0.29	34.35	1.00	NONTERMINATING	37	12	49	GNTA / GNTA
210	2.95	2.95	1.00	NONTERMINATING	28	21	49	Fixpoint / Fixpoint
211	3.35	3.35	3.00	NONTERMINATING	5	6	11	Fixpoint / Fixpoint
212	0.34	41.94	4.00	NONTERMINATING	275	31	306	GNTA / GNTA
213	1.58	1.58	1.00	NONTERMINATING	9	8	17	Fixpoint / Fixpoint
214	3.40	3.40	2.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
215	3.32	3.32	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
216	2.71	2.71	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
217	2.79	2.79	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
218	2.60	2.60	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
219	2.87	2.87	0.00	NONTERMINATING	4	1	5	Fixpoint / Fixpoint
220	2.91	2.91	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
221	1.96	46.98	1.00	NONTERMINATING	5	1	6	GNTA / GNTA
222	1.84	40.37	1.00	NONTERMINATING	5	1	6	GNTA / GNTA
